,Specs,Score
7,PLT_recovery,20390478.33
6,ANC_recovery,5996503.149
8,time_to_acute_GvHD_III_IV,425033.1475
9,survival_time,82924.01041
2,recipient_body_mass,115.2397964
3,CD34_x1e6_per_kg,33.06591882
4,CD3_x1e8_per_kg,30.46169554
5,CD3_to_CD34_ratio,22.90980429
1,recipient_age,21.81215019
57,relapse_yes,15.20119048
26,disease_lymphoma,10.8
56,extensive_chronic_GvHD_yes,4.543010753
55,acute_GvHD_III_IV_yes,2.340833333
53,tx_post_relapse_yes,2.204347826
12,donor_ABO_AB,2.135555556
15,recipient_age_below_10_yes,1.996296296
16,recipient_age_int_10_20,1.941573034
51,risk_group_low,1.505367232
31,CMV_status_1,1.408045977
0,donor_age,1.386349839
44,allel_4,1.2
10,donor_age_below_35_yes,1.078205128
28,disease_group_nonmalignant,0.816666667
27,disease_nonmalignant,0.816666667
11,donor_ABO_A,0.789201878
49,HLA_group_1_three_diffs,0.675
52,stem_cell_source_peripheral_blood,0.670344828
22,recipient_rh_plus,0.460208333
34,HLA_match_10-Jul,0.426666667
46,HLA_group_1_mismatched,0.426666667
38,antigen_1,0.406349206
40,antigen_3,0.385714286
17,recipient_age_int_5_10,0.376470588
54,acute_GvHD_II_III_IV_yes,0.344047619
30,ABO_match_mismatched,0.338024691
19,recipient_ABO_A,0.319736842
14,donor_CMV_present,0.263013699
20,recipient_ABO_AB,0.256410256
33,CMV_status_3,0.198449612
25,disease_chronic,0.18962963
23,recipient_CMV_present,0.136111111
36,HLA_match_10-Sep,0.131282051
35,HLA_match_10-Oct,0.128014184
45,HLA_group_1_matched,0.128014184
48,HLA_group_1_one_antigen,0.079365079
13,donor_ABO_B,0.076190476
41,allel_1,0.073333333
39,antigen_2,0.061111111
43,allel_3,0.05
18,recipient_gender_male,0.042857143
21,recipient_ABO_B,0.042666667
47,HLA_group_1_one_allel,0.038095238
42,allel_2,0.0375
32,CMV_status_2,0.035555556
50,HLA_group_1_two_diffs,0.028070175
37,HLA_mismatch_mismatched,0.010714286
29,gender_match_other,0.005376344
24,disease_AML,0
